lr-AdamW,step,train/loss_sds,train/grad_norm,train/timestep,train_params/lambda_sds,train_params/lambda_normal_consistency,train_params/lambda_laplacian_smoothness,train_params/sd_loss,train_params/nd_sd_loss,train_params/eikonal_loss,train/min_step,train/max_step,consistency,eik,inv_s,filter,TET,epoch
0.001,99,,,,,,,,,,,,,,,,,
,99,194.35263061523438,39.43122100830078,94.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.01820402406156063,0.014016387052834034,0.547980546951294,0.1221509501338005,1481714.0,0
0.001,199,,,,,,,,,,,,,,,,,
,199,345.06365966796875,52.540550231933594,100.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.018799150362610817,0.016591543331742287,0.5559912323951721,0.11387432366609573,1381317.0,0
0.001,299,,,,,,,,,,,,,,,,,
,299,543.761962890625,65.95525360107422,35.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.01866133324801922,0.015027438290417194,0.5634074807167053,0.10963424295186996,1329884.0,0
0.001,399,,,,,,,,,,,,,,,,,
,399,421.8239440917969,58.09123611450195,207.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.018389247357845306,0.014434246346354485,0.5703115463256836,0.1150534525513649,1395620.0,0
0.001,499,,,,,,,,,,,,,,,,,
,499,449.46087646484375,59.964046478271484,356.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.019037462770938873,0.01586349867284298,0.5767695903778076,0.11214146018028259,1360297.0,0
0.001,599,,,,,,,,,,,,,,,,,
,599,390.1650695800781,55.868778228759766,169.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.018745306879281998,0.01528114266693592,0.5828357338905334,0.110356904566288,1338650.0,0
0.001,699,,,,,,,,,,,,,,,,,
,699,559.206787109375,66.88538360595703,169.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.01830265298485756,0.01650834269821644,0.588554859161377,0.11154476553201675,1353059.0,0
0.001,799,,,,,,,,,,,,,,,,,
,799,246.1715087890625,44.37760925292969,310.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.019048985093832016,0.014744269661605358,0.5939644575119019,0.10761160403490067,1305349.0,0
0.001,899,,,,,,,,,,,,,,,,,
,899,518.2999877929688,64.39254760742188,424.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.018500082194805145,0.013272098265588284,0.599096417427063,0.10335000604391098,1253655.0,0
0.001,999,,,,,,,,,,,,,,,,,
,999,407.425537109375,57.09119415283203,352.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.01872326247394085,0.014541784301400185,0.6039778590202332,0.10280334949493408,1247024.0,0
0.001,1099,,,,,,,,,,,,,,,,,
,1099,323.44927978515625,50.86840057373047,423.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.019345657899975777,0.01579100824892521,0.6086320281028748,0.10136256366968155,1229547.0,0
0.001,1199,,,,,,,,,,,,,,,,,
,1199,610.5607299804688,69.88909149169922,366.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.018442295491695404,0.013867253437638283,0.6130791902542114,0.10066447407007217,1221079.0,0
0.001,1299,,,,,,,,,,,,,,,,,
,1299,759.4174194335938,77.94446563720703,157.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.01961817964911461,0.013244480825960636,0.6173369288444519,0.09684713929891586,1174774.0,0
0.001,1399,,,,,,,,,,,,,,,,,
,1399,589.550048828125,68.67605590820312,274.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.02011057734489441,0.014459201134741306,0.6214208006858826,0.09680929780006409,1174315.0,0
0.001,1499,,,,,,,,,,,,,,,,,
,1499,831.792724609375,81.57415008544922,498.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.020315034314990044,0.016544610261917114,0.6253443956375122,0.09448814392089844,1146159.0,0
0.001,1599,,,,,,,,,,,,,,,,,
,1599,352.23321533203125,53.08357238769531,50.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.02058408595621586,0.015693439170718193,0.629119873046875,0.09448716044425964,1146147.0,0
0.001,1699,,,,,,,,,,,,,,,,,
,1699,824.43212890625,81.21241760253906,164.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.02035735920071602,0.016083283349871635,0.6327579617500305,0.09406819939613342,1141065.0,0
0.001,1799,,,,,,,,,,,,,,,,,
,1799,409.46771240234375,57.23409652709961,486.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.02000553347170353,0.011704902164638042,0.6362683176994324,0.0949920117855072,1152271.0,0
0.001,1899,,,,,,,,,,,,,,,,,
,1899,522.4688720703125,64.65099334716797,324.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.021453136578202248,0.016068117693066597,0.6396596431732178,0.09206955134868622,1116821.0,0
0.001,1999,,,,,,,,,,,,,,,,,
,1999,582.582763671875,68.26904296875,399.0,1.0,1000.0,0.0,1.0,1.0,1000.0,20.0,500.0,0.020191024988889694,0.015273580327630043,0.6429396867752075,0.09226031601428986,1119135.0,0
