lr-AdamW,step,train/loss_sds,train/grad_norm,train/timestep,train_params/lambda_sds,train_params/lambda_normal_consistency,train_params/lambda_laplacian_smoothness,train_params/sd_loss,train_params/nd_sd_loss,train_params/eikonal_loss,train/min_step,train/max_step,consistency,eik,inv_s,filter,TET,epoch
0.001,99,,,,,,,,,,,,,,,,,
,99,280.8740234375,47.40245056152344,714.0,1.0,1000.0,0.0,1.0,1.0,1000.0,468.0,948.0,0.02502916194498539,0.04325651749968529,0.3683866858482361,0.1267567276954651,1537583.0,0
0.001,199,,,,,,,,,,,,,,,,,
,199,277.74102783203125,47.137332916259766,612.0,1.0,1000.0,0.0,1.0,1.0,1000.0,436.0,916.0,0.02049208991229534,0.01794656366109848,0.40910056233406067,0.11894802749156952,1442862.0,0
0.001,299,,,,,,,,,,,,,,,,,
,299,239.81509399414062,43.80092239379883,649.0,1.0,1000.0,0.0,1.0,1.0,1000.0,404.0,884.0,0.02034682221710682,0.013055678457021713,0.43795233964920044,0.10169050842523575,1233525.0,0
0.001,399,,,,,,,,,,,,,,,,,
,399,218.21044921875,41.78137969970703,433.0,1.0,1000.0,0.0,1.0,1.0,1000.0,372.0,852.0,0.02501981519162655,0.014129731804132462,0.46031680703163147,0.08973430097103119,1088494.0,0
0.001,499,,,,,,,,,,,,,,,,,
,499,316.3505554199219,50.30710220336914,517.0,1.0,1000.0,0.0,1.0,1.0,1000.0,340.0,820.0,0.022468475624918938,0.01162793394178152,0.47858238220214844,0.09216781705617905,1118013.0,0
0.001,599,,,,,,,,,,,,,,,,,
,599,422.18914794921875,58.11637496948242,433.0,1.0,1000.0,0.0,1.0,1.0,1000.0,308.0,788.0,0.024450864642858505,0.010959899984300137,0.49402129650115967,0.08859623223543167,1074689.0,0
0.001,699,,,,,,,,,,,,,,,,,
,699,637.9464111328125,71.43928527832031,360.0,1.0,1000.0,0.0,1.0,1.0,1000.0,276.0,756.0,0.025818130001425743,0.00860022846609354,0.5073922872543335,0.08429572731256485,1022523.0,0
0.001,799,,,,,,,,,,,,,,,,,
,799,626.9448852539062,70.82061004638672,250.0,1.0,1000.0,0.0,1.0,1.0,1000.0,244.0,724.0,0.030328532680869102,0.018654420971870422,0.5191845297813416,0.07834766805171967,950372.0,0
0.001,899,,,,,,,,,,,,,,,,,
,899,531.0444946289062,65.17941284179688,388.0,1.0,1000.0,0.0,1.0,1.0,1000.0,212.0,692.0,0.02840128354728222,0.008537954650819302,0.5297316908836365,0.07157036662101746,868162.0,0
0.001,999,,,,,,,,,,,,,,,,,
,999,411.8291931152344,57.398895263671875,567.0,1.0,1000.0,0.0,1.0,1.0,1000.0,180.0,660.0,0.02671087719500065,0.008792358450591564,0.5392718315124512,0.07697572559118271,933730.0,0
